id,scientific,scientif_1,eventDate,lon,lat,institutio,collection,catalogNum,scientif_2,originalsc,absence,acceptedNa,accepted_1,accessRigh,aphiaID
0e001231-718e-4eb2-9e99-d0b33c33e7a3,Cepphus grylle,"(Linnaeus, 1758)",1979-09-01T09:20:00,-61.2333,56.05,Canadian Wildlife Service,280,280_121169,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0e531afa-9a0f-4c40-991e-7c3d6b1fcca6,Cepphus grylle,"(Linnaeus, 1758)",1979-08-17T08:00:00,-63.2,59.1333,Canadian Wildlife Service,280,280_119456,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0e8928fd-c7b6-4990-81b4-9ee2d176d0ea,Cepphus grylle,,,-63.49,44.51,"Canadian Wildlife Service-Atlantic, Environment Canada",,-1339166790_-389939252_-1386193162,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0e8eb70f-b5c0-4fe3-827c-3f47d3285c50,Cepphus grylle,"(Linnaeus, 1758)",07/01/2009 00:00,-64.09384,44.43796,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NS003440_BLGU_11766_2009-07-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0e965e22-19de-4f61-af89-bca98b6a7521,Cepphus grylle,"(Linnaeus, 1758)",1989-07-02T12:00:00Z,-66.75595856,44.58475113,ACCD,EOR,31437,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0eb7902b-2cdd-4232-871d-72e5bed613e0,Cepphus grylle,"(Linnaeus, 1758)",07/05/2010 00:00,-62.45797,46.00309,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,PE002621_BLGU_11913_2010-07-05,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0eb9128e-21de-4403-9d23-3879cb7c1e33,Cepphus grylle,"(Linnaeus, 1758)",01/01/1985 00:00,-54.04883,49.48989,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000535_BLGU_1295_1985-01-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0ec82026-ba5b-485a-b068-631a0e69ae4c,Cepphus grylle,"(Linnaeus, 1758)",8/13/78 00:00,-60.08222,55.71668,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NF000891_BLGU_1992_1978-08-13,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0effe597-f73e-46a9-9927-6c8934e4df54,Cepphus grylle,"(Linnaeus, 1758)",1973-02-28T13:40:00,-67.4667,49.25,Canadian Wildlife Service,280,280_62762,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0f00f388-2f63-45ea-ae3d-f0e01f74b7e2,Cepphus grylle,"(Linnaeus, 1758)",05/01/2009 00:00,-61.5426,45.10182,Canadian Wildlife Service - Atlantic Region (CWS - Atlantic),,NS002232_BLGU_9923_2009-05-01,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0f01625f-f067-4450-ae4c-b21aef55fcdd,Cepphus grylle,,,-52.61,47.55,"Canadian Wildlife Service-Atlantic, Environment Canada",,1182351344_474287648_979979000,urn:lsid:marinespecies.org:taxname:137130,,FALSE,,,,137130
0f4f2107-99d3-4b7b-9bd6-c52b95e77cc5,Cepphus grylle,"(Linnaeus, 1758)",08/12/2005 15:41,-68.0262,44.2988,NA,,441727,137130,,FALSE,,,,137130
0fa9f807-dc1c-4aa6-aefa-9589b4cc0fb1,Cepphus grylle,"(Linnaeus, 1758)",NA,-69.9576,41.4428,USFWS,,680381,137130,,FALSE,,,,137130
