Crane,Time,X,Y
100853,9/10/13 05:07,-2324.62251,2613.853671
100853,9/10/13 11:06,-2321.477718,2613.220433
100853,9/10/13 17:06,-2318.089584,2611.905367
100853,9/10/13 23:06,-2317.876346,2611.50333
100853,9/11/13 05:04,-2317.02874,2613.397699
100853,9/11/13 11:04,-2319.744774,2610.982114
100853,9/11/13 17:03,-2325.045477,2606.942433
100853,9/11/13 23:02,-2310.850675,2590.685256
100853,9/12/13 05:01,-2310.434162,2590.693962
100853,9/12/13 11:02,-2309.242524,2590.292845
100853,9/12/13 16:59,-2308.974099,2589.975183
100853,9/12/13 22:58,-2310.025934,2589.059653
100853,9/13/13 04:57,-2308.360399,2590.906004
100853,9/13/13 10:57,-2307.285079,2589.230205
100853,9/13/13 16:57,-2310.972522,2585.953849
100853,9/13/13 22:55,-2309.44993,2588.697122
100853,9/16/13 14:22,-2301.803071,2590.557003
100853,9/16/13 20:21,-2278.873908,2566.883317
100853,9/17/13 02:19,-2278.860619,2566.920758
100853,9/17/13 08:19,-2277.26634,2567.451745
100853,9/21/13 16:59,-1349.74825,1522.442943
100853,9/21/13 22:57,-1173.675167,1489.854376
100853,9/22/13 04:55,-1097.289212,1465.577443
100853,9/22/13 10:55,-1070.080222,1401.323292
100853,9/22/13 16:54,-983.2134501,1267.187609
100853,9/22/13 22:53,-978.9310249,1258.218762
100853,9/23/13 04:52,-978.9432512,1258.094297
100853,9/23/13 10:52,-980.4227046,1244.242976
100853,9/23/13 16:51,-888.7821814,1105.669695
100853,9/23/13 22:50,-862.9216645,1072.06114
100853,9/26/13 12:00,-601.0249806,634.4226923
100853,9/26/13 23:48,-467.3350462,589.4202468
100853,9/26/13 23:56,-464.1603471,589.0887452
100853,9/27/13 05:56,-464.1603471,589.0887452
100853,9/27/13 11:56,-462.1828484,583.246707
100853,9/27/13 17:54,-304.2472596,478.4498952
100853,9/27/13 23:53,-281.2201759,438.7578362
100853,9/28/13 17:50,-210.9009662,365.475578
100853,9/28/13 23:49,-225.5119778,360.1528497
100853,9/29/13 05:49,-225.505454,360.1525391
100853,9/29/13 11:48,-216.7143599,357.4129845
100853,9/29/13 17:49,-74.84336163,230.0732799
100853,9/29/13 23:45,-27.11150541,177.0608592
100853,9/30/13 05:45,-27.06430544,177.0160892
100853,9/30/13 11:46,-20.32089436,162.0058051
100853,9/30/13 17:43,51.27150569,137.4015695
100853,9/30/13 23:41,154.3039801,74.6005208
100853,10/1/13 13:38,167.8713561,49.53538504
100853,10/1/13 19:36,164.7186406,49.5330824
100853,10/2/13 01:35,164.6884556,49.82155951
100853,10/2/13 07:35,168.9936492,47.37913986
100853,10/2/13 13:35,169.5384381,47.11883311
100853,10/2/13 19:35,164.7319621,49.76729725
100853,10/3/13 01:33,164.6884556,49.82155951
100853,10/3/13 07:32,169.0229774,47.12404991
100853,10/3/13 13:32,170.2238868,46.81872601
100853,10/3/13 19:31,164.7259519,49.52218519
100853,10/4/13 01:31,164.6815035,49.82133566
100853,10/4/13 07:31,166.1819251,47.55425135
100853,10/4/13 13:30,169.2718383,43.60312604
100853,10/5/13 01:28,164.9582717,50.08630621
100853,10/5/13 07:28,166.1546298,47.96527649
